Age,Weight,Sleep_Hours,Sleep_Timing,Working_Hours,Study_Hours,Exercise_Hours,Water_Intake,Healthy_Diet,Fast_Food_Weekly,Health_Issues,Exam_Preparation,Family_Issues,Location_Type,Social_Media_Usage,Instagram_Hours,Facebook_Hours,Stress_Level
53,79.7,8.0,Early,8.2,3.2,2.8,5.8,8,2,0,0,0,Rural,1,1.5,1.6,Minimal
43,61.4,6.6,Late,5.2,1.8,1.9,6.3,4,1,0,0,0,Rural,1,1.5,1.0,Minimal
29,67.4,5.3,Normal,3.7,3.6,0.6,8.7,4,0,0,0,0,Urban,1,1.1,1.3,Minimal
57,68.6,5.6,Late,8.1,6.3,0.9,2.0,5,2,0,0,0,Urban,1,2.4,0.9,Moderate
22,86.2,8.3,Early,5.9,4.9,0.8,4.2,4,5,0,0,0,Urban,1,2.7,1.9,Mild
35,63.6,7.0,Normal,11.2,2.0,0.6,4.2,7,2,0,1,1,Rural,1,1.4,0.0,Moderate
53,87.8,8.5,Early,9.4,2.7,0.3,8.4,3,3,0,1,1,Urban,1,0.8,0.6,High
33,56.4,8.8,Early,5.9,1.9,0.0,4.9,4,0,0,1,0,Urban,1,1.3,0.0,Minimal
37,74.0,8.3,Normal,4.4,4.6,0.3,6.6,4,0,0,1,0,Rural,1,4.1,0.1,Minimal
25,59.7,8.9,Late,5.5,0.8,1.1,4.2,2,4,0,0,0,Rural,1,0.9,0.6,Minimal
25,86.7,5.9,Late,8.2,6.2,1.7,6.1,5,2,0,0,0,Rural,1,2.9,2.0,Mild
38,57.7,7.9,Early,7.4,3.7,0.4,6.3,5,2,0,0,0,Rural,1,1.7,2.5,Minimal
50,59.2,6.3,Early,9.4,0.0,0.5,10.3,1,5,0,0,0,Rural,1,2.9,0.4,Mild
54,51.2,5.4,Late,5.9,2.5,0.1,2.8,6,1,0,1,0,Urban,1,2.2,0.0,Moderate
38,71.5,7.7,Late,8.9,0.0,0.0,5.7,7,0,0,0,1,Urban,1,1.5,1.5,Moderate
17,78.9,8.1,Normal,8.6,3.0,0.8,4.3,8,2,0,0,1,Rural,0,0.0,0.0,Minimal
36,77.2,6.5,Normal,10.5,2.1,2.5,5.3,2,4,0,0,0,Urban,1,2.4,1.8,Mild
16,67.8,7.1,Early,8.4,0.0,0.0,4.6,5,3,1,1,1,Rural,0,0.0,0.0,High
38,60.1,8.1,Normal,6.3,5.6,1.4,8.2,5,1,0,1,0,Urban,1,2.6,0.0,Mild
58,65.8,6.1,Normal,10.6,6.7,0.3,5.1,1,0,0,0,0,Rural,1,2.8,0.6,Moderate
44,66.4,8.2,Normal,7.5,2.6,1.1,2.5,4,2,0,0,0,Urban,1,4.1,0.9,Minimal
52,73.8,5.6,Normal,7.2,2.4,0.1,5.4,3,2,1,1,0,Urban,1,0.8,1.5,High
16,72.8,7.6,Early,8.2,3.0,2.3,8.9,3,5,1,1,0,Urban,1,0.0,2.0,Moderate
35,96.1,5.2,Late,10.4,2.7,1.3,8.2,6,3,0,0,0,Rural,1,3.7,1.4,Mild
47,70.6,9.0,Late,10.1,2.1,0.1,3.2,7,2,0,0,0,Rural,1,0.0,2.0,Mild
26,75.4,8.0,Late,9.1,5.9,2.3,3.1,8,0,0,0,0,Urban,1,1.8,0.1,Minimal
36,71.1,10.0,Early,9.8,3.6,0.3,5.9,5,0,0,1,0,Urban,1,0.0,1.2,Mild
58,65.1,5.6,Early,8.8,2.9,1.0,8.5,6,2,0,1,0,Urban,1,2.4,2.2,Mild
39,75.3,8.0,Late,6.2,4.3,0.8,4.9,1,3,0,0,0,Urban,1,1.9,1.1,Moderate
41,63.7,7.0,Normal,9.9,3.4,2.0,6.8,4,0,0,1,0,Urban,1,4.5,2.3,Mild
56,69.1,4.8,Late,3.1,3.2,1.0,3.7,3,1,0,0,0,Rural,1,3.2,0.7,Minimal
42,87.4,7.2,Early,8.0,1.3,2.9,5.6,3,4,0,1,0,Rural,1,2.0,0.0,Minimal
30,62.7,7.9,Late,8.1,3.5,1.9,6.9,7,3,0,0,0,Urban,1,2.5,0.0,Minimal
29,75.8,10.0,Normal,12.3,4.4,0.0,3.0,3,2,0,0,0,Rural,1,2.3,1.8,Mild
58,40.0,6.2,Early,6.1,1.7,3.5,7.5,1,1,0,0,0,Rural,1,1.3,1.0,Minimal
17,67.2,7.7,Normal,10.0,4.8,0.8,5.2,3,3,0,1,0,Urban,1,4.9,0.0,High
51,62.6,7.5,Normal,8.4,3.9,0.6,4.6,2,2,0,1,0,Urban,1,1.9,0.0,Moderate
21,71.8,6.7,Normal,7.3,4.6,1.2,8.5,3,5,0,0,0,Rural,1,1.3,1.4,Minimal
35,66.5,6.8,Early,4.3,2.5,0.3,4.1,7,3,0,0,0,Rural,1,3.4,0.0,Minimal
23,72.1,8.1,Late,8.4,1.3,2.8,4.9,8,3,0,0,0,Urban,1,3.9,0.8,Minimal
53,64.3,6.8,Normal,8.5,3.8,1.8,5.1,4,1,0,0,0,Urban,1,2.7,2.6,Minimal
32,75.8,6.6,Late,7.5,4.4,1.9,1.6,1,2,0,0,0,Urban,1,0.0,1.3,Mild
18,44.3,6.2,Late,11.3,6.9,1.2,7.6,5,2,0,0,0,Urban,1,1.6,2.4,Moderate
39,71.7,4.7,Normal,10.3,0.5,1.3,4.7,4,4,0,1,0,Urban,1,0.2,0.1,Moderate
28,55.9,8.4,Normal,7.7,3.3,2.2,4.2,4,1,0,1,0,Rural,1,1.2,0.6,Minimal
23,87.5,6.2,Early,10.2,4.3,0.0,2.7,5,2,0,1,1,Rural,1,0.0,0.9,High
40,55.7,8.8,Normal,10.6,4.4,1.3,2.1,5,0,0,0,0,Rural,1,3.7,1.7,Minimal
16,84.9,8.9,Late,6.7,0.7,1.3,10.1,6,0,0,0,0,Rural,1,3.2,0.9,Minimal
34,69.8,10.6,Normal,5.9,4.5,1.1,5.8,4,0,0,0,0,Urban,1,4.7,0.7,Minimal
42,42.6,7.7,Normal,5.6,0.1,3.4,8.9,6,4,0,0,1,Urban,1,5.2,2.8,Minimal
21,56.9,7.8,Early,10.0,0.4,0.8,6.9,2,2,0,0,0,Urban,0,0.0,0.0,Minimal
58,82.7,7.9,Early,7.3,5.8,0.4,3.7,6,2,0,0,0,Rural,1,4.9,0.0,Minimal
22,81.9,7.4,Normal,6.6,1.2,2.4,7.5,4,2,0,1,0,Rural,1,1.2,0.3,Minimal
49,50.5,8.8,Late,9.9,5.0,2.9,8.1,6,6,0,0,0,Rural,1,0.9,1.2,Minimal
28,93.4,6.9,Normal,7.4,3.5,1.5,3.3,2,1,0,0,0,Urban,0,0.0,0.0,Minimal
31,69.6,7.8,Late,5.9,5.1,1.4,6.5,6,2,0,0,0,Rural,1,0.7,1.9,Minimal
50,83.3,6.8,Normal,11.0,2.1,3.0,5.0,6,2,0,0,1,Urban,1,0.7,2.1,Mild
54,51.8,5.0,Normal,10.1,2.2,1.9,5.4,1,1,0,0,0,Rural,1,2.5,0.0,Mild
18,63.2,8.1,Normal,6.7,4.0,0.3,4.7,6,5,0,0,0,Urban,1,2.8,1.8,Mild
16,76.2,3.0,Late,6.5,5.6,0.9,4.9,4,0,1,0,0,Urban,1,3.1,0.0,High
20,65.3,7.8,Early,7.6,5.3,1.5,3.4,6,3,0,0,0,Urban,1,0.4,0.1,Minimal
56,40.0,8.6,Normal,9.3,1.7,0.0,6.7,2,5,0,0,0,Urban,1,2.5,1.9,Moderate
18,67.1,7.9,Late,10.3,7.0,3.9,8.0,1,1,0,0,0,Rural,1,3.0,0.9,Minimal
